title,page
Ein Lied in der Wüste,3
Nachts ist dein Leib,3
Umsonst malst du Herzen,3
Marianne,4
Talglicht,4
Die Hand voller Stunden,4
Halbe Nacht,5
Dein Haar überm Meer,5
Espenbaum,5
Aschenkraut,6
Das Geheimnis der Farne,6
Der Sand aus den Urnen,6
Die letzte Fahne,7
Ein Knirschen von eisernen Schuhn,7
Das Gastmahl,7
Dunkles Aug im September,8
Der Stein aus dem Meer,8
Erinnerung an Frankreich,9
Chanson einer Dame im Schatten,9
Nachtstrahl,10
Die Jahre von dir zu mir,11
Lob der Ferne,11
Das ganze Leben,11
Spät und Tief,12
Corona,13
Todesfuge,13
Auf Reisen,14
In Ägypten,15
Ins Nebelhorn,15
Vom Blau,15
Wer wie du,15
Brandmal,16
Wer sein Herz,16
Kristall,16
Totenhemd,16
Auf hoher See,17
Ich bin allein,17
Die Krüge,18
"Nachts, wenn das Pendel",18
So schlafe,18
So bist du denn geworden,19
Die feste Burg,19
Der Tauben weißeste,19
Schlaf und Speise,20
Der Reisekamerad,20
Augen,20
Die Ewigkeit,20
Brandung,21
Aus Herzen und Hirnen,21
Unstetes Herz,22
Sie kämmt ihr Haar,22
Da du geblendet von Worten,22
Landschaft,23
Stille!,23
Wasser und Feuer,23
Zähle die Mandeln,24
Ich hörte sagen,27
Im Spätrot,27
Leuchten,27
Gemeinsam,28
Mit Äxten spielend,28
Das Schwere,28
Ein Körnchen Sands,29
Strähne,29
Aus dem Meer,30
Zwiegestalt,30
Fernen,30
Wo Eis ist,31
Von Dunkel zu Dunkel,31
In Gestalt eines Ebers,32
Bretonischer Strand,32
Gut,32
Zu zweien,33
Der Gast,33
Grabschrift für François,34
Aufs Auge gepfropft,34
Der uns die Stunden zählte,34
Assisi,35
Auch heute abend,35
Vor einer Kerze,36
Mit wechselndem Schlüssell,37
Hier,37
Und das Schöne,37
Waldig,38
Abend der Worte,39
Die Halde,40
Ich weiß,40
Die Felder,40
Andenken,41
Nächtlich geschürzt,42
Auge der Zeit,42
Flügelnacht,43
Welchen der Steine du hebst,43
In memoriam Paul Eluard,44
Schibboleth,44
Wir sehen dich,45
Kenotaph,45
Sprich auch du,46
Mit zeitroten Lippen,47
Argumentum e silentio,47
Die Winzer,48
Inselhin,49
Stimmen,51
Zuversicht,54
Mit Brief und Uhr,54
Unter ein Bild,55
Heimkehr,55
Unten,55
Heute und morgen,56
Schliere,56
Tenebrae,58
Blume,58
Weiß und Leicht,59
Sprachgitter,60
Schneebett,61
Windgerecht,61
Nacht,62
Matière de Bretagne,62
Schuttkahn,63
"Köln, Am Hof",64
In die Ferne,64
Ein Tag und noch einer,64
In Mundhöhe,65
Eine Hand,65
Aber,65
Allerseelen,66
Entwurf einer Landschaft,66
"Ein Auge, offen",68
"Oben, geräuschlos",68
Die Welt,69
Ein Holzstern,69
Sommerbericht,70
Niedrigwasser,70
"Bahndämme, Wegränder, Ödplätze, Schutt",71
Engführung,72
Es war Erde in ihnen,89
Das Wort vom Zur-Tiefe-Gehn,89
Bei Wein und Verlorenheit,89
"Zürich, Zum Storchen",90
"Selbdritt, selbviert",91
Soviel Gestirne,91
Dein Hinübersein,92
Zu beiden Händen,92
Zwölf Jahre,93
Mit allen Gedanken,94
Die Schleuse,94
Stumme Herbstgerüche,95
"Eis, Eden",95
Psalm,95
"Tübingen, Jänner",96
Chymisch,97
Eine Gaunerund Ganovenweise,98
Flimmerbaum,100
Erratisch,101
Einiges Handähnliche,101
... rauscht der Brunnen,101
Es ist nicht mehr,102
"Radix, Matrix",102
Schwarzerde,103
"Einem, der vor der Tür stand",104
Mandorla,104
An niemand geschmiegt,105
"Zweihäusig, Ewiger",106
Sibirisch,106
Benedicta,107
À la pointe acérée,108
Die hellen Steine,110
Anabasis,110
Ein Wurfholz,111
Hawdalah,112
Le Menhir,112
Nachmittag mit Zirkus und Zitadelle,113
Bei Tag,113
Kermorvan,113
Ich habe Bambus geschnitten,114
Kolon,114
Was geschah?,116
In eins,116
Hinausgekrönt,116
Wohin mir das Wort,118
Les Globes,118
Huhediblu,118
Hüttenfenster,120
Die Silbe Schmerz,121
La Contrescarpe,123
Es ist alles anders,124
Und mit dem Buch aus Tarussa,126
In der Luft,128
Du darfst,131
Von Ungeträumtem,131
In die Rillen,131
In den Flüssen,132
Vor dein spätes Gesicht,132
Die Schwermutschnellen hindurch,132
Die Zahlen,132
Wege im Schatten-Gebräch,133
Weißgrau,133
Mit erdwärts gesungenen Masten,133
