id,collection,title,page,change_type,original,corrected,notes
13386,Mohn und Gedächtnis,Espenbaum,5,source_text_replaced,"Espenbaum, dein Laub blickt weiß in s Dunkel.
Meiner Mutter Haar ward nimmer weiß.
Löwenzahn, so grün ist die Ukraine.
Meine blonde Mutter kam nicht heim.
Regenwolke, säumst du an den Brunnen?
Meine leise Mutter weint für alle.
Runder Stern, du schlingst die goldne Schleife.
Meiner Mutter Herz ward wund von Blei.
Eichne Tür, wer hob dich aus den Angeln?
Meine sanfte Mutter kann nicht kommen.","Espenbaum, dein Laub blickt weiß in s Dunkel. 
Meiner Mutter Haar ward nimmer weiß. 
Löwenzahn, so grün ist die Ukraine. 
Meine blonde Mutter kam nicht heim. 
Regenwolke, säumst du an den Brunnen? 
Meine leise Mutter weint für alle. 
Runder Stern, du schlingst die goldne Schleife.",Replaced JSON text with the text extracted from the PDF page segment.
13386,Mohn und Gedächtnis,Espenbaum,5,cleaning_and_normalization,"Espenbaum, dein Laub blickt weiß ins Dunkel.
Meiner Mutter Haar ward nimmer weiß.
Löwenzahn, so grün ist die Ukraine.
Meine blonde Mutter kam nicht heim.
Regenwolke, säumst du an den Brunnen?
Meine leise Mutter weint für alle.
Runder Stern, du schlingst die goldne Schleife.
Meiner Mutter Herz ward wund von Blei.
Eichne Tür, wer hob dich aus den Angeln?
Meine sanfte Mutter kann nicht kommen.","Espenbaum, dein Laub blickt weiß ins Dunkel.
Meiner Mutter Haar ward nimmer weiß.
Löwenzahn, so grün ist die Ukraine.
Meine blonde Mutter kam nicht heim.
Regenwolke, säumst du an den Brunnen?
Meine leise Mutter weint für alle.
Runder Stern, du schlingst die goldne Schleife.","Applied whitespace/ligature fixups, contraction joins (e.g., 'in s'→'ins'), and preposition+Capital split (e.g., 'imStundenrund'→'im Stundenrund') while preserving stanza breaks."
13395,Mohn und Gedächtnis,Erinnerung an Frankreich,9,source_text_replaced,"Du denk mit mir: der Himmel von Paris, die große Herbstzeitlose...
Wir kauften Herzen bei den Blumenmädchen:
sie waren blau und blühten auf im Wasser.
Es fing zu regnen an in unserer Stube,
und unser Nachbar kam, Monsieur Le Songe, ein hager Männlein.
Wir spielten K arten, ich verlor die Augensterne;
du liehst dein Haar mir, ich verlors, er schlug uns nieder.
Er trat zur Tür hinaus, der Regen folgt' ihm.
Wir waren tot und konnten atmen.","Du denk mit mir: der Himmel von Paris, die große Herbstzeitlose . . .  
Wir kauften Herzen bei den Blumenmädchen:  
sie waren blau und blühten auf im Wasser .  
Es fing zu regnen an in unserer Stube ,  
und unser Nachbar kam, Monsieur Le Songe, ein hager Männlein.  
Wir spielten K arten, ich verlor die Augensterne;  
du liehst dein Haar mir, ich verlors, er schlug uns nieder.  
Er trat zur Tür hinaus, der Regen folgt' ihm .  
Wir waren tot und konnten atmen.",Replaced JSON text with the text extracted from the PDF page segment.
13403,Mohn und Gedächtnis,Auf Reisen,14,source_text_replaced,"Es ist eine Stunde, d ie macht dir den Staub zum Gefolge,
dein Haus in Paris zur Opferstatt deiner Hände,
dein schwarzes Aug zum schwärzesten Auge.
Es ist ein Gehöft, da hält ein Gespann für dein Herz.
Dein Haar möchte wehen, wenn du fährst - das ist ihm verboten.
Die bleiben und winken, wissen es nicht.","Es ist eine Stunde, d ie macht dir den Staub zum Gefolge,  
dein Haus in Paris zur Opferstatt deiner Hände,  
dein schwarzes Aug zum schwärzesten Auge.  
Es ist ein Gehöft, da hält ein Gespann für dein Herz.  
Dein Haar möchte wehen, wenn du fährst - das ist ihm verboten.  
Die bleiben und winken, wissen es nicht.",Replaced JSON text with the text extracted from the PDF page segment.
13405,Mohn und Gedächtnis,Ins Nebelhorn,15,source_text_replaced,"Mund im verborgenen Spiegel,
Knie vor der Säule des Hochmuts,
Hand mit dem Gitterstab:
reicht euch das Dunkel,
nennt meinen Namen,
führt mich vor ihn.","Mund im verborgenen Spiegel, 
Knie vor der Säule des Hochmuts, 
Hand mit dem Gitterstab: 
reicht euch das Dunkel, 
nennt meinen Namen, 
führt mich vor ihn.",Replaced JSON text with the text extracted from the PDF page segment.
13410,Mohn und Gedächtnis,Kristall,16,source_text_replaced,"Nicht an meinen Lippen suche deinen Mund,
nicht vorm Tor den Fremdling,
nicht im Aug die Träne.
Sieben Nächte höher wandert Rot zu Rot,
sieben Herzen tiefer pocht die Hand ans Tor,
sieben Rosen später rauscht der Brunnen.","Nicht an meinen Lippen suche deinen Mund,  
nicht vorm Tor den Fremdling,  
nicht im Aug die Träne.  
Sieben Nächte höher wandert Rot zu Rot,  
sieben Herzen tiefer pocht die Hand ans Tor,  
sieben Rosen später rauscht der Brunnen.",Replaced JSON text with the text extracted from the PDF page segment.
13414,Mohn und Gedächtnis,Die Krüge,18,source_text_replaced,"An den langen Tischen der Zeit
zechen die Krüge Gottes.
Sie trinken die Augen der Sehenden leer und die Augen der Blinden,
die Herzen der waltenden Schatten,
die hohle Wange des Abends.
Sie sind die gewaltigsten Zecher:
sie führen das Leere zum Mund wie das Volle
und schäumen nicht über wie du oder ich.","Für Klaus Demus 
An den langen Tischen der Zeit  
zechen die Krüge Gottes.  
Sie trinken die Augen der Sehenden leer und die Augen der Blinden,  
die Herzen der waltenden Schatten,  
die hohle Wange des Abends.  
Sie sind die gewaltigsten Zecher:  
sie führen das Leere zum Mund wie das Volle  
und schäumen nicht über wie du oder ich.",Replaced JSON text with the text extracted from the PDF page segment.
13414,Mohn und Gedächtnis,Die Krüge,18,cleaning_and_normalization,"An den langen Tischen der Zeit
zechen die Krüge Gottes.
Sie trinken die Augen der Sehenden leer und die Augen der Blinden,
die Herzen der waltenden Schatten,
die hohle Wange des Abends.
Sie sind die gewaltigsten Zecher:
sie führen das Leere zum Mund wie das Volle
und schäumen nicht über wie du oder ich.","Für Klaus Demus
An den langen Tischen der Zeit
zechen die Krüge Gottes.
Sie trinken die Augen der Sehenden leer und die Augen der Blinden,
die Herzen der waltenden Schatten,
die hohle Wange des Abends.
Sie sind die gewaltigsten Zecher:
sie führen das Leere zum Mund wie das Volle
und schäumen nicht über wie du oder ich.","Applied whitespace/ligature fixups, contraction joins (e.g., 'in s'→'ins'), and preposition+Capital split (e.g., 'imStundenrund'→'im Stundenrund') while preserving stanza breaks."
13385,Mohn und Gedächtnis,Dein Haar überm Meer,5,source_text_replaced,,"Es schwebt auch dein Haar überm Meer mit dem g oldnen Wacholder. 
Mit ihm wird es weiß, dann färb ich es steinblau:  
die Farbe der Stadt, wo zuletzt ich geschleift ward gen Süde n . . .  
Mit Tauen banden sie mich und knüpften an jedes ein Segel  
und spieen mich an aus nebligen Mäulern und sangen:  
'O komm übers Meer!' 
Ich aber malt als ein Kahn die Schwingen mir purpurn  
und röchelte selbst mir die Brise und stach, eh sie schliefen, in See.  
Ich sollte sie rot dir nun färben, die Locken, doch lieb ich sie steinblau:  
O Augen der Stadt, wo ich stürzte und südwärts geschleift ward!  
Mit dem goldnen Wacholder schwebt auch dein Haar überm Meer.",Replaced JSON text with the text extracted from the PDF page segment.
13385,Mohn und Gedächtnis,Dein Haar überm Meer,5,cleaning_and_normalization,,"Es schwebt auch dein Haar überm Meer mit dem goldnen Wacholder.
Mit ihm wird es weiß, dann färb ich es steinblau:
die Farbe der Stadt, wo zuletzt ich geschleift ward gen Süde n...
Mit Tauen banden sie mich und knüpften an jedes ein Segel
und spieen mich an aus nebligen Mäulern und sangen:
'O komm übers Meer!'
Ich aber malt als ein Kahn die Schwingen mir purpurn
und röchelte selbst mir die Brise und stach, eh sie schliefen, in See.
Ich sollte sie rot dir nun färben, die Locken, doch lieb ich sie steinblau:
O Augen der Stadt, wo ich stürzte und südwärts geschleift ward!
Mit dem goldnen Wacholder schwebt auch dein Haar überm Meer.","Applied whitespace/ligature fixups, contraction joins (e.g., 'in s'→'ins'), and preposition+Capital split (e.g., 'imStundenrund'→'im Stundenrund') while preserving stanza breaks."
